name;link;image;price
;https://www.sulpak.kg/g/noutbuk_lenovo_ideapad_3_81we005yrk_62_2205;https://object.pscloud.io/cms/cms/Photo/img_0_62_2205_0_6.png;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>46 990 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_lenovo_v14_igl_82c2000yru_62_2090;https://object.pscloud.io/cms/cms/Photo/img_0_62_2090_8_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>32 690 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_acer_predator_triton_300s_pt314_51s_51nz_nh_qbjer_004_62_2229;https://object.pscloud.io/cms/cms/Photo/img_0_62_2229_0_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>112 290 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_asus_tuf_gaming_f15_i5165sgn_90nr03u2_m03150_62_2154;https://object.pscloud.io/cms/cms/Photo/img_0_62_2154_0_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>93 890 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_acer_nitro_5_an515_57_nh_qeler_008;https://object.pscloud.io/cms/cms/Photo/img_0_62_2396_0_6.png;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>101 990 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuki_acer_aspire_3_a315_34_c41tun_nxhe3er00b;https://object.pscloud.io/cms/cms/Photo/img_0_62_1927_4_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>36 790 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_acer_swift_3_sf314_511_i382suw_nx_acser_001_62_2278;https://object.pscloud.io/cms/cms/Photo/img_0_62_2278_6_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>69 390 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_lenovo_ideapad_gaming_3_15ach6_82k200h3rk;https://object.pscloud.io/cms/cms/Photo/img_0_62_2186_0_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>97 990 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_lenovo_ideapad_3_i381tmw_lenpn3_62_1913;https://object.pscloud.io/cms/cms/Photo/img_0_62_1913_0_6.png;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>57 190 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuki_acer_aspire_3_a315_35_p5ty_nxa6ler00v;https://object.pscloud.io/cms/cms/Photo/img_0_62_2210_0_6.png;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>36 790 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_acer_predator_triton_300s_pt314_51s_52x6_nh_qbjer_003_62_2231;https://object.pscloud.io/cms/cms/Photo/img_0_62_2231_4_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>122 490 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_acer_aspire_7_a715_75g_52c8_i585sgn_nh_q99er_002_62_2243;https://object.pscloud.io/cms/cms/Photo/img_0_62_2243_6_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>81 690 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_haier__u1520sm_c41suw;https://object.pscloud.io/cms/cms/Photo/img_0_62_2395_9_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>30 690 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_asus_tuf_gaming_f15_fx506h_i5165sgn_90nr0723_m05380;https://object.pscloud.io/cms/cms/Photo/img_0_62_2366_0_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>114 290 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_lenovo_ideapad_gaming_3_15ihu6_82k100byrk_62_2190;https://object.pscloud.io/cms/cms/Photo/img_0_62_2190_0_6.png;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>97 990 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_asus_x515jf_p82smn_90nb0sw1_m04820_62_2297;https://object.pscloud.io/cms/cms/Photo/img_0_62_2297_0_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>46 490 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_lenovo_ideapad_3_p42sun_82c2001bru_62_2209;https://object.pscloud.io/cms/cms/Photo/img_0_62_2209_0_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>36 790 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_lenovo_ideapad_3_15ada05_a41tuw_81w100rark_62_1962;https://object.pscloud.io/cms/cms/Photo/img_0_62_1962_11_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>36 790 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_acer_swift_3_sf313_53g_nx_a4her_002;https://object.pscloud.io/cms/cms/Photo/img_0_62_2341_6_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>77 590 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_acer_aspire_7_a715_75g_77de_nh_q87er_003_62_2230;https://object.pscloud.io/cms/cms/Photo/img_0_62_2230_8_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>89 790 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_acer_nitro_5_an515_55_nh_qb0er_005;https://object.pscloud.io/cms/cms/Photo/img_0_62_2360_0_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>106 190 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_lenovo_ideapad_l3_i341tuw_82hl005wrk_62_2117;https://object.pscloud.io/cms/cms/Photo/img_0_62_2117_0_6.png;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>57 190 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_lenovo_ideapad_l3_r541tun_81lw002grk_62_2118;https://object.pscloud.io/cms/cms/Photo/img_0_62_2118_0_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>48 990 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_hp_laptop_15s_eq1354ur_a41suw;https://object.pscloud.io/cms/cms/Photo/img_0_62_2382_2_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>40 890 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuki_acer_aspire_3_a315_57g_nxhzrer006;https://object.pscloud.io/cms/cms/Photo/img_0_62_2335_0_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>77 590 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_acer_nitro_5_an517_52_nh_qdver_006;https://object.pscloud.io/cms/cms/Photo/img_0_62_2255_0_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>104 090 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_asus_r565ja_bq1407t;https://object.pscloud.io/cms/cms/Photo/img_0_62_2451_4_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>61 290 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_acer_nitro_5_an515_55_nh_q7mer_00c;https://object.pscloud.io/cms/cms/Photo/img_0_62_2430_0_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>91 890 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_acer_nitro_5_an515_57_nh_qeser_003;https://object.pscloud.io/cms/cms/Photo/img_0_62_2427_8_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>106 190 сом</span>
</div>"
;https://www.sulpak.kg/g/noutbuk_lenovo_ideapad_3_15ada05_a41tun_81w100rark_62_1961;https://object.pscloud.io/cms/cms/Photo/img_0_62_1961_3_1.jpg;"<div class=""price"">
<span class=""hidden"">Цена:</span>
<span>34 690 сом</span>
</div>"
